,bandwidth
0,403052
1,532460
2,0
3,459668
4,5969644
5,7788564
6,6908628
7,7205840
8,7855988
9,7786072
10,7307508
11,7529928
12,7825140
13,5950072
14,8535536
15,7949364
16,7823948
17,8018888
18,6584852
19,6780076
20,7249440
21,7468464
22,5815272
23,8585568
24,7596472
25,7648552
26,7403424
27,7047136
28,6837056
29,7105308
30,6932764
31,7457136
32,7486792
33,7503668
34,6680636
35,8756012
36,7653532
37,7466880
38,7446352
39,7444228
40,7357384
41,7126876
42,6421484
43,6301016
44,7403216
45,7186708
46,6809576
47,7034100
48,7328840
49,7055432
50,6649684
51,7066376
52,6974560
53,7667256
54,7800876
55,5080008
56,3522560
57,7004160
58,8153088
59,7950336
60,5586944
61,3907584
62,1036288
63,6725632
64,8329216
65,5515264
66,3858432
67,7622656
68,8167424
69,8357888
70,5908480
71,4374528
72,5892096
73,8062976
74,7177840
75,3462080
76,3338944
77,3162640
78,3047076
79,3461664
80,2985956
81,3731128
82,3451788
83,1255196
84,4501852
85,3544228
86,6651904
87,7743488
88,8079360
89,8206336
90,5711872
91,3141632
92,5742592
93,7671808
94,7991296
95,6078464
96,3198976
97,7120896
98,7845888
99,7569408
100,5840896
101,3796992
102,6750208
103,7708672
104,8372224
105,5349376
106,3172352
107,6408192
108,7309312
109,7299072
110,5517312
111,3440640
112,4562944
113,6832128
114,7360512
115,5939200
116,4216832
117,6821888
118,7344128
119,4491264
120,6410240
121,3033088
122,3778560
123,6866944
124,6013604
125,3374780
126,3407872
127,3516016
128,3345044
129,3136140
130,3237468
131,823296
132,3350488
133,5124228
134,5020976
135,4670368
136,4145152
137,6038640
138,5979152
139,7131868
140,6438252
141,3629056
142,6010880
143,7084032
144,7294976
145,6862848
146,3057664
147,6172672
148,7442432
149,7587840
150,7299072
151,4231168
152,4124672
153,7606272
154,8499200
155,7692288
156,3706880
157,4958208
158,7589888
159,8183808
160,7409664
161,3592192
162,5285888
163,7706624
164,7774208
165,7372800
166,2994176
167,5578752
168,7364608
169,8355840
170,7315456
171,4296704
172,4012032
173,7245824
174,6711092
175,7273476
176,4407296
177,3780608
178,7501824
179,7329792
180,7458816
181,4907008
182,4116480
183,6174720
184,7145472
185,7184384
186,4368384
187,4487168
188,7022592
189,7061504
190,7360512
191,4673536
192,3725312
193,6289408
194,7432192
195,7204864
196,3747840
197,4612096
198,7114752
199,7528448
200,7344128
201,4702208
202,4081664
203,7569408
204,7497728
205,7438336
206,4870144
207,3784704
208,7280640
209,7610368
210,7372800
211,4685824
212,835584
213,3387392
214,7008256
215,7268352
216,5158912
217,3895296
218,7172096
219,7124992
220,7665664
221,3296620
222,3774464
223,5102500
224,4448324
225,5879508
226,4995456
227,4913152
228,7604224
229,4890252
230,4327832
231,5053788
232,3557376
233,6451200
234,7448576
235,7084032
236,5322752
237,3641344
238,7122944
239,7518208
240,7600128
241,6127616
242,3928064
243,5259264
244,7204864
245,7766016
246,6297600
247,2471936
248,6483968
249,7182336
250,6674456
251,4404156
252,3041280
253,6335516
254,5452468
255,2916344
256,4551988
257,3719168
258,7319552
259,7069696
260,5352904
261,4079420
262,2654208
263,7213056
264,4253312
265,2271380
266,2463292
267,4354048
268,3955928
269,3933960
270,4828092
271,4354952
272,3428352
273,5437776
274,4705068
275,4372416
276,3534024
277,3622912
278,2529068
279,4735496
280,4720696
281,4077700
282,4904960
283,6676384
284,4738192
285,4509788
286,5437628
287,2713600
288,6250496
289,7712768
290,7426048
291,6471680
292,3575808
293,5107712
294,7362560
295,6971392
296,6864896
297,3274752
298,4734976
299,7641088
300,7424000
301,7573504
302,4177920
303,3649536
304,7155712
305,8192000
306,9078784
307,6637568
308,4265984
309,6572032
310,7090176
311,7258112
312,3850240
313,3979264
314,7340032
315,7430144
316,7503872
317,4192256
318,3760128
319,7718912
320,7282688
321,7825408
322,4044800
323,4292608
324,7008256
325,7307264
326,7596032
327,4554752
328,1660928
329,4122624
330,7491584
331,7454720
332,4751360
333,4366336
334,7905280
335,7772160
336,7962624
337,4526080
338,3239936
339,7659520
340,7700480
341,8118272
342,5306368
343,3620864
344,6680576
345,7659520
346,5151040
347,3150888
348,3246080
349,4795788
350,2630284
351,3836616
352,4423612
353,5148672
354,8163328
355,5268324
356,3874976
357,2196696
358,2180260
359,3883588
360,4392484
361,3937508
362,3725144
363,4811844
364,4655552
