,bandwidth
0,804056
1,3538500
2,4006256
3,3872804
4,3504076
5,3202224
6,2962904
7,3340344
8,3045132
9,3398308
10,2907636
11,2430600
12,1706412
13,2363044
14,1163324
15,3731264
16,3398308
17,3338996
18,2861804
19,3529116
20,3264208
21,3178480
22,2765500
23,2993520
24,2435296
25,4333556
26,4147536
27,4154588
28,4043968
29,5943296
30,5582788
31,4678512
32,5535976
33,5240112
34,5567072
35,5852416
36,3817472
37,5775360
38,5578028
39,4899468
40,4161536
41,4739072
42,4575288
43,4465664
44,4273888
45,4362240
46,5208064
47,6703104
48,5429112
49,4671076
50,3117116
51,5127388
52,5584972
53,3911392
54,3938856
55,4141056
56,4200292
57,4247624
58,4064220
59,4367628
60,3879424
61,4762496
62,4027216
63,4339332
64,3834848
65,3559468
66,4575316
67,3875896
68,5001932
69,6453924
70,3738924
71,4691968
72,6320128
73,6715392
74,6885376
75,5222400
76,3768320
77,5963776
78,6539264
79,6819840
80,5410816
81,4440064
82,5361664
83,6823936
84,6780928
85,5548032
86,4542464
87,5386240
88,6553600
89,6901760
90,5869568
91,3118296
92,2276772
93,2225548
94,2009868
95,1917556
96,2239676
97,2314516
98,2354956
99,1311604
100,2247116
101,4140720
102,3464696
103,3228460
104,2011216
105,2129192
106,3117096
107,3773548
108,3715864
109,3264724
110,3526368
111,1277952
112,6659696
113,3782072
114,3829852
115,2476392
116,3051520
117,3260240
118,3896420
119,2970292
120,2016608
121,4429452
122,4628844
123,3538116
124,2638684
125,2317212
126,3732300
127,3590684
128,4120856
129,4641508
130,4302660
131,3854336
132,3614724
133,3196316
134,3410272
135,3059196
136,2753340
137,2767444
138,2381916
139,2521460
140,2474228
141,2478196
142,2393476
143,1325188
144,896964
145,747544
146,5214336
147,3753156
148,2450664
149,2792564
150,3754672
151,3440584
152,4562856
153,3811056
154,3479420
155,3254564
156,1943636
157,3646520
158,3214980
159,3285076
160,2924280
161,2801376
162,1655992
163,2516484
164,3189004
165,2952120
166,3330424
167,3663364
168,2472464
169,4181536
170,4167460
171,3579668
172,6348800
173,5084924
174,5747024
175,5494912
176,4306188
177,4751360
178,6365184
179,6766592
180,6127532
181,4499456
182,4538368
183,6258688
184,6897664
185,6172060
186,4802756
187,4687872
188,5699584
189,5611960
190,4289240
191,4032216
192,4027936
193,5551108
194,4954600
195,3913676
196,3402064
197,3534848
198,4903160
199,6622476
200,6780928
201,3843512
202,4853760
203,6725632
204,6641664
205,6922240
206,5455872
207,4562944
208,5468160
209,6656000
210,7004160
211,5806080
212,3336192
213,5441536
214,6606848
215,6764544
216,5115904
217,3657728
218,6668288
219,6873088
220,6606848
221,6084608
222,4044800
223,5189632
224,6651904
225,6848512
226,5916672
227,4536320
228,5484544
229,5783552
230,6844416
231,5726208
232,6529024
233,1753088
234,2420736
235,4687872
236,3194880
237,3276800
238,3885056
239,6445056
240,6733824
241,6719488
242,5169152
243,4079616
244,6653952
245,4795956
246,2483484
247,3648672
248,5562368
249,5609472
250,6537216
251,6553600
252,6037504
253,5736448
254,5922816
255,5847040
256,4730880
257,4110336
258,6270976
259,7100416
260,6316032
261,4775936
262,5427200
263,5081088
264,6492160
265,6490112
266,6418432
267,5062656
268,5140480
269,5840896
270,5087232
271,6582272
272,5177344
273,5160960
274,1683456
275,5193728
276,7213056
277,6993920
278,2354036
279,6387712
280,6604800
281,6711296
282,6688768
283,5015552
284,3950592
285,6041600
286,6774784
287,6776832
288,4546560
289,4419584
290,6764544
291,6770688
292,6037436
293,3958256
294,4009984
295,5477012
296,4984932
297,3797340
298,3225508
299,3508348
300,3353280
301,2835700
302,2862192
303,3929208
304,4079172
305,3256288
306,3456244
307,3942176
308,3332748
309,2712304
310,3398724
311,3066984
312,3732612
313,2972628
314,2256192
315,4023856
316,4754124
317,3529904
318,3509076
319,3915112
320,3260940
321,3590124
322,4505656
323,4268620
324,4492192
325,4434500
326,4555120
327,4657880
328,3861896
329,5052416
330,4731084
331,4129344
332,3952800
333,4184836
334,3932160
335,3888032
336,3363984
337,3176848
338,2944444
339,3205132
340,2951940
341,3172832
342,3305836
343,613340
344,4201716
345,1038680
346,4279180
347,2791112
348,3370644
349,5067944
350,2922952
351,5034652
352,3764160
353,2900480
354,2212212
355,4028876
356,3922832
357,5166016
358,6047416
359,2129920
360,3338240
361,6893568
362,5955584
363,5664768
364,3858432
365,6060032
366,6795264
367,6373376
368,6578176
369,4319232
370,4448256
371,7127040
372,6967296
373,7278592
374,4091904
375,4370432
376,6930432
377,6746112
378,6324224
379,4280320
380,4247552
381,6979584
382,7139328
383,4373512
384,4067328
385,5404672
386,5136404
387,4397568
388,4147428
389,3579116
390,5250472
391,7094260
392,5301344
393,5241440
394,4067140
395,4120576
396,7006208
397,6856704
398,7258112
399,4866048
400,3770368
401,6848512
402,6625280
403,6647808
404,4657152
405,3903488
406,6918144
407,6764544
408,6787072
409,5658624
410,3833856
411,6643712
412,6623232
413,6709248
414,5451776
415,4419584
416,5685248
417,6823936
418,6791168
419,5206016
420,4501504
421,5832704
422,6975488
423,6647808
424,5425152
425,4864000
426,6166528
427,7151616
428,7002112
429,6070272
430,3735552
431,4114432
432,6363136
433,7120896
434,6815744
435,4730880
436,4173824
437,6987776
438,6942720
439,7053312
440,5382144
441,3973120
442,5795840
443,6864896
444,6823936
445,6012928
446,1691648
447,3837952
448,6651904
449,6959104
450,6565888
451,4026368
452,5869568
453,7385088
