,bandwidth
0,2385260
1,3092732
2,3337228
3,3330908
4,3535804
5,3422572
6,3640948
7,3822928
8,4100616
9,4387852
10,5408064
11,6185612
12,7352384
13,5580688
14,4954084
15,4633364
16,2609216
17,6634248
18,5557756
19,4989788
20,4661176
21,2848768
22,7170048
23,5022856
24,4987236
25,4411472
26,2875252
27,6976624
28,5468832
29,4977468
30,4873992
31,1192600
32,3391488
33,7671808
34,6789900
35,5321688
36,3551232
37,6320128
38,5115456
39,4995248
40,5038644
41,3718720
42,6340608
43,4866196
44,4956568
45,4852200
46,3174916
47,7042120
48,4658688
49,3068048
50,5077320
51,2248704
52,3274752
53,6886932
54,3531216
55,4160368
56,4441660
57,3264332
58,6429164
59,4808936
60,3787104
61,3056952
62,2497584
63,3651732
64,3144884
65,2783620
66,3174496
67,2793100
68,3629672
69,3796616
70,3497860
71,3461164
72,2023076
73,2684684
74,3349780
75,2925160
76,2551764
77,2539736
78,3080076
79,3025276
80,2636324
81,2011216
82,3077484
83,2973648
84,3414524
85,2735092
86,2770972
87,3133720
88,3188216
89,2995256
90,2124448
91,1707916
92,2331604
93,2225984
94,1214548
95,3165712
96,3012336
97,3980956
98,3167976
99,2560756
100,1790328
101,1617856
102,917988
103,885636
104,1131672
105,822928
106,1511108
107,2832148
108,2287556
109,1906072
110,2829660
111,2937784
112,3223716
113,2780692
114,2979312
115,2038176
116,2052408
117,1633024
118,1783404
119,1178152
120,2069768
121,1789556
122,1962688
123,1709264
124,211636
125,1500056
126,2155720
127,1315648
128,1143104
129,1956648
130,2476380
131,2218004
132,2797100
133,3304648
134,3296044
135,3994588
136,4510772
137,3307700
138,3768912
139,3485952
140,2414320
141,2361644
142,2525868
143,1651584
144,2190500
145,2225548
146,1875068
147,1953252
148,1978864
149,2477624
150,1742964
151,1951904
152,595816
153,4101964
154,1983812
155,3760120
156,2843476
157,2997700
158,2974096
159,2191692
160,1833280
161,1234768
162,1200420
163,680040
164,2123100
165,16176
166,178124
167,3665372
168,3788880
169,2414848
170,3424688
171,1425536
172,4426832
173,3492384
174,2286056
175,3898956
176,2278664
177,3296360
178,2892308
179,2741832
180,2022000
181,2163592
182,795244
183,2942008
184,1889896
185,2913028
186,2801248
187,3608492
188,2983048
189,2600448
190,2480008
191,2632540
192,2153092
193,2073432
194,2179508
195,1524588
196,1622992
197,727920
198,2511324
199,2000432
200,1819800
201,2567940
202,2770996
203,2041700
204,4958308
205,2030736
206,1736224
207,1230724
208,955732
209,791276
210,2594900
211,1404124
212,2496988
213,2685916
214,2044216
215,1993692
216,1973576
217,1856092
218,1962688
219,2174324
220,1620296
221,1455892
222,1786800
223,2043516
224,1718000
225,110536
226,2410328
227,2633292
228,3007984
229,2585464
230,2607784
231,3502536
232,2507444
233,1267120
234,1316996
235,1198372
236,1201068
237,2305080
238,3104548
239,2807892
240,1912700
241,1089884
242,1448400
243,1838388
244,918972
245,2970292
246,1896636
247,1078400
248,0
249,4639816
250,2584116
251,2099724
252,1623452
253,1422140
254,1333872
255,1890544
256,1602904
257,1365392
258,2574680
259,2132536
260,2505932
261,2155452
262,1977516
263,2042220
264,1871024
265,2039524
266,1753748
267,1466624
268,963820
269,765664
270,1296776
271,792080
272,475040
273,235900
274,1622992
275,444840
276,64704
277,0
278,0
279,0
280,0
281,0
282,907204
283,1872372
284,775100
285,0
286,2654212
287,1105360
288,1006956
289,633560
290,882940
291,1305564
292,1053436
293,466408
294,1993692
295,1140460
296,1217192
297,986736
